text,label
№04 (920) / Политика и экономика / Что почем / Задолбили!.,5
"№ 0837 из ГУК НКО от 12.08.43 г. В 1939 году был награжден медалью ""За Отвагу"".",5
"¾ показатели инвестиционной эффективности (NCF, NPV, IRR и другие.",5
"""0ппидум"" означал первоначально укрепленное место, защищенное валом - стеной и рвом; обычно они были расположены на возвышенных или мало доступных местах.",5
… 0-трихолог >… а пролактин влияет на… Гормоны и выпадение волос… Анализ волос на… трихологи первым делом направляют… Анализ на пролактин.,5
«100-летие образования Республики Карелия»,5
$100 убытка неожиданно превратились в $50.,5
"№ 102 ""Об утверждении государственной программы УР ""Развитие сельского хозяйства и регулирования рынков сельхозпродукции сырья и продовольствия""",5
"№ 103683 пытается его урезонить, но № 4000 настаивает, он готов драться, чтобы извлечь из внутренностей своего приятеля бесценный наркотик.",5
"""10:41 forest: Frank (10:39), судя по вчерашнему кол-ву машин в столице, народ пояса затягивать еще не начинал""",5
"№10 (74), октябрь 201165 лет истории развития компании ""Сактон""",5
"!) (10 в 18-й степени) как количественно, так и качественно, а также по размерам, астральному разнообразию и таким параметрам, которым мне даже терминов не найти.",5
"«10 февраля 8-я воздушно-десантная бригада и отряды партизан заняли район Моршаново – Дягилево, где разгромили штаб 5-й немецкой танковой дивизии, захватив при этом многочисленные трофеи.",5
"""110 лет со дня рождения Г.К. Жукова и 65-я годовщина Московского контрнаступления"".",5
"!1111одинодин11"" в не предназначенном для того месте может, значит я вполне могу сказать, что он тупой.",5
"№ 11 в рейтинге продаж раздела «Комикс, манга, графический роман»",5
"""11 сего июля 1861 года капитан Гаттерас, командир судна ""Форвард"" из Ливерпуля, открыл остров Королевы у Северного полюса, под 89ь59'15 северной широты.",5
№1249-р О внесении изменений в РП УР от 21.07.2008г.,5
"№125-ФЗ ""О высшем и послевузовском профессиональном образовании""(с изменениями и дополнениями) и Законом Российской Федерации от 30 марта 1993г.",5
"№127 Просмотреть все объявления от пиарщик №84 Кошечка трёхцветного окраса, возраст примерно 1,5 года, к лотку приучена.",5
№1293 «Об условиях приватизации муниципального имущества Моргаушского района Чувашской Республики».,5
"""12 апреля 1961 года, мне 12 лет.",5
№ 12 в рейтинге продаж раздела «Всё для оформления подарков»,5
• 12. Несовершенство и ошибки важная часть вашей жизни.,5
"""12 ноября 1968 г. вблизи Пекочеа, Аргентина, пилот самолета гражданской авиации обнаружил с воздуха странные рисунки на почве.",5
№12 от 06 сентября 2017.,5
№ 1-3/2012 и «Человек и труд» №3/2012 опубликованы статья и интервью Председателя Профсоюза Н.Н.Агаповой. С текстом статьи и интервью можно ознакомиться здесь.,5
"№ 133 «О мерах по реализации мероприятий ФЦП «Социальное развитие села до 2013 года""",5
«13» декабря 2012 г. состоялось расширенное заседания Комитета РСПП по государственно-частному партнерству и инвестиционной политике.,5
"""13 июня 2010 г. Бийскому трамваю исполнилось 50 лет.",5
"№ 13, один из талантливых связистов, имел звания ""Почетный радист СССР"".",5
"""13 причин почему"".",5
"№ 14-3648-ГЕ «О некоторых вопросах государственной регистрации прав на основании решений третейских судов», исходя из необходимости неукоснительного выполнения отмеченного выше Постановления Конституционного суда РФ от 26.05.2011г.",5
• 14. Не позволяйте одному плохому дню окрашивать вашу жизнь в чёрный цвет.,5
"• 14 разнообразных городов с уникальными квестами, монстрами и НПЦ.",5
• 15. 2007 Биологический контроль окружающей среды: биоиндикация и биотестирование / Ред.,5
"№ 1544 от 2008-10-30 Указ Президента РФ от 30 октября 2008 г. N 1544 ""О назначении судей верховных судов республик, Алтайского краевого суда, областных судов и Московского городского суда""",5
№154-п о внесении изменений в Ведомственную целевую программу «Развитие культуры и искусства Республики Адыгея на 2010-2012 годы»,5
№156 О внесении изменений в ПП УР от 30.12.2015г.,5
"» 15 апреля 2014 года в Москве прошла IV Ежегодная бизнес-встреча «Безопасность лизинговой деятельности», организованная Подкомитетом ТПП РФ по лизингу, НП «Лизинговый союз» и КА «Территория лизинга»",5
"• 15 км от МКАД по Волоколамскому шоссе, 6 км от Красногорска, 1000 м от Ж/Д станции.",5
• 15 марта 1946 года.,5
» 15 марта 2013 года в Москве завершила свою работу IV Всероссийская конференция «Бухгалтерский учет и налогообложение лизинговых операций»,5
«16 июля 1969 года пришлось оставить многострадальный корабль и переместиться на пришедшую на помощь яхту «Шенандоа».,5
"«170 герц» – фильм о беззаветной любви и свободе, которая приходит вместе с ней.",5
"""17 апреля в 04:44 на 23 км Приморского шоссе водитель, мужчина 1995г.",5
"№ 17 в рейтинге продаж раздела «Комикс, манга, графический роман»",5
"» 17 фев 2019, 16:18 в форуме Для корпорации ЭЛАР - коррекция сведений ОБД ""Мемориал""",5
• 18. 2006 Остроумов С.А. Полифункциональная роль биоты в миграции химических элементов и формировании геохимической среды: к разработке теории аппарата биосферы.,5
"«18 октября 1986 года в городе Ташкенте я сел в самолет, который случайно оказался машиной времени, и из XX века я попал в XIV.",5
"№ 18 ""О мерах по предупреждению распространения энтеровирусной (неполио)инфекции на территории Сахалинской области в 2019 году""",5
"№ 19/6-8 ""О регистрации Никитиной Натальи Михайловны кандидатом в депутаты Совета депутатов городского поселения Солнечногорск Солнечногорского муниципального района Московской области по одномандатному избирательному.",5
№ 197 «О реализации постановления Правительства Российской Федерации от 28 февраля 2012г.,5
• 1981 год — медали «За строительство Байкало Амурской магистрали» и «За трудовое отличие».,5
"• 1982 г. Новосибирский институт народного хозяйства с отличием, дневное отделение, квалификация по диплому «экономист»",5
"№ 198 Минсельхоза России, Президент Плодоовощного Союза Сергей Королев включен в состав Общественного совета при Минсельхозе России.",5
"• 1996-1998 – обычно говорят, что все пути сходятся в Рим.",5
"""19 сентября - открытие Юбилейных XXX Московских студенческих спортивных игр""",5
"«1 августа мы приехали из магазина и решили, что у нас будет выходной.",5
• 1% за внесение наличных средств на карту через банкоматы ПСБ.,5
