,text,label
105,Comhlacht is ea Umbro.,10
3,""" a díchur Rí Séamas 11.",10
41,Ba é John Tyler (,10
275,Suas le 90 cm ar fhad.,10
80,B'é sin Rialtas Terijoki.,10
137,Foclóir nó Sanasan Nua.,10
175,Is é Erwin Raupp (,10
37,Ba é James Buchanan (,10
95,Capsúl nó caor an toradh.,10
43,Ba é Proinsias II (,10
195,Is ionann art agus cloch.,10
14,Ar eolas leis na cianta.,10
267,Sonraí le líonadh.,10
64,Baile beag é Uibhle (,10
243,Rugadh ar an 9 Aibreán é.,10
213,Leon nó Panthera leo.,10
0,"Ach anois, bíonn an gás (",10
100,Chathair na Mart -,10
121,Díoladh 10 míle cóip.,10
248,Rugadh é sa bhliain 1967.,10
269,Suas le 25 cm ar fhad.,10
239,Rinneadh moltaí dá réir.,10
118,Déantar i gcuinneog é.,10
208,Leabhar amháin.,10
230,Ní féidir seo a mheas.,10
268,; sruth an chiall leis.,10
217,"Mac Aonghusa, lch 15.",10
258,Samóis agus Béarla.,10
199,Is lus ilbhliantúil é.,10
143,Gan dáta ar eolas –,10
136,Féach Mac Craith thíos.,10
286,Tá sé faoi ghlas ó shin.,10
59,Ba é seo an 43ú eagrán.,10
133,Fástar stoc ann freisin.,10
284,Tá Rúnaí Stáit na hAlban(,10
236,Ós rud é gurb é an t-,10
257,Rugadh i Sliema é.,10
263,Seoladh i mbliain 1971 é.,10
74,B'é Cois tSiúire (,10
139,Forbairt an chogaidh.,10
99,Ceapadh é ina POF.,10
127,Dúnadh é sa bhliain 2000.,10
290,Theas é Alex White.,10
165,Is dócha gur dúchasach d',10
265,Shasana é Sparkbrook.,10
124,Dódh é go talamh.,10
162,Is ceann stáit é an t-,10
24,Ba bhocht an saol é.,10
161,Is cathair é Unalaska (,10
264,Seo rogha íomhánna.,10
61,Ba é seo an ochtú eagrán.,10
209,Leabhar na nGinealach.,10
76,B'é Peadar Mór (,10
151,Is ainmhí é an loras.,10
201,Is pearsa é Parthalán (,10
128,EFTPOS i mBéarla.,10
181,Is é oileán Kemmuna (,10
34,Ba é Fidel Castro (,10
32,Ba é Eochaid a chéadainm.,10
197,Is leabhar é Brosna.,10
260,"Scríobh sí 1,789 dán.",10
103,Chum sé 370 saothar.,10
279,Tá dhá bunscoileanna ann.,10
289,Tearmann éan atá ann.,10
119,D'fhan sé ann sé mhí.,10
156,Is as Contae Chorcaí0 é.,10
214,"Livias, go Béarla.",10
206,Itheann sé síolta.,10
82,Bhí Cathal Goulding (,10
7,Airí maighnéadach ábhar.,10
220,"Maigh Nuad, ll.",10
254,Rugadh é sa bhliain 1994.,10
228,Na súile mór ildaite.,10
55,Ba é seo an 26ú eagrán.,10
164,Is cosantóir é.,10
179,Is é Lykke-Per (,10
140,Forbairt gnéasach leanaí.,10
141,Friochtar iad de ghnáth.,10
241,Roinn an Taoisigh.,10
177,"Is é ""Hibernicus exul"" (",10
69,"Bán, buí nó dearg.",10
5,Agus nithe le teagasc.,10
109,Cuireadh chun báis é (r.,10
52,Ba é seo an 19ú eagrán.,10
29,Ba é Clemeint XIII (,10
184,Is é Schwerin (,10
22,A taifead ag Dave Scott.,10
112,Dá bhrí sin d'áitigh sé:.,10
196,Is lánchúilí é.,10
247,Rugadh é sa bhliain 1955.,10
36,Ba é Giorgos Seferis (,10
130,Eógan mac Néill) (bás c.,10
27,Ba é Arnaud a scríobh é.,10
101,Chonradh na Gaeilge.,10
142,"Gaeilge: ""Is ea - Ní hea""",10
183,Is é Robert J. Bently (,10
31,"Ba é Edward ""Ned"" Kelly (",10
305,Úsáidtear na téarmaí ‘,10
20,Arna rochtain ar 25-Aibr.,10
211,Leinín i bpríosún.,10
204,Is scéal é an Odaisé (,10
26,Ba dhlíodóir é.,10
166,""" is ea an ceann eile).",10
187,Is é Texas an 28ú stát.,10
293,Thoir é Corn na hAfraice.,10
171,Is é an reicteam (,10
25,Ba de bhunadh Scotach (,10
46,Ba é seo a gcéad bhonn.,10
266,"Simms, ""Ó Néill, Aodh"".",10
192,Is foirm iompair í.,10
51,Ba é seo an 18ú eagrán.,10
235,Ord mór is ea Diptera.,10
110,Cur le chéile na n-,10
250,Rugadh é sa bhliain 1976.,10
104,Comhar Teoranta.,10
276,Tá 540 km d'achar ann.,10
234,Nó litreacha a scríobh.,10
188,Is é Thomas Carper (r.,10
296,Tógadh é sa bhliain 1890.,10
251,Rugadh é sa bhliain 1987.,10
150,Is ainmhí é an bilbí mór.,10
2,"AD, a bheag nó a mhór.",10
149,Is ainmhí é an babarúsa.,10
45,Ba é Roger Garland (,10
227,Na síolta snámhach.,10
21,Arna rochtain ar 25 Ean.,10
233,Níor bheag an t-éacht é.,10
57,Ba é seo an 33ú eagrán.,10
180,Is é Meitreo Mhoscó (,10
173,Is é Béal Feirste (,10
65,Baile margaidh atá ann.,10
270,Suas le 2.5 m ar fhad.,10
11,"An soc fada caol, an t-",10
93,Cad é limistéar?,10
89,Bóthar i Mont-St.,10
54,Ba é seo an 24ú eagrán.,10
259,Scannán is ea Vampyr (,10
238,Poblacht na hÉireann.,10
135,Féach Canúint aonair.,10
205,Is síol inite é Pónaire.,10
277,Tacaíonn sé le 90 teanga.,10
87,Bhí sé 70 bliain d'aois.,10
152,Is aistritheoir é.,10
154,Is amhránaí é (,10
117,Dath donn éadrom uirthi.,10
47,Ba é seo an 12ú eagrán.,10
167,"Is é Ailí Ahmad Sa'íd—""",10
120,D'fhreastail sé ar St.,10
96,Cash tirim a shíniú.,10
134,Féach Bain an ghaoth de.,10
48,Ba é seo an 14ú eagrán.,10
242,Rugadh Aodh Ó Néill (,10
40,Ba é John Quincy Adams (,10
215,Louis Magret a scríobh é.,10
216,Lus bliantúil atá ann.,10
90,Bunaíodh an scoil i 1973.,10
78,B'é seo an Díle (,10
288,Tá trí alt san rúitín:.,10
28,Ba é Charles X (,10
202,Is scannán é Shark Tale.,10
8,Áit do dhaoine measartha.,10
285,Tá sé dúchasach d',10
219,"Maidir leis an téarma """,10
240,Rinne sé sona air.,10
178,Is é isteach sa stáid ‘,10
303,Tugtar smiú air freisin.,10
30,Ba é Craig Lyle Thomas (,10
212,"Leoga, bhíodh alt sa “",10
153,Is amhlaidh gurb é an t-,10
232,"Ní Mhaonaigh (2018), lch.",10
39,Ba é John Adams (,10
88,B'insporáid é seo di.,10
185,"Is é ""Sououd-e-Melli""",10
218,'' mac Chobhthaigh é.,10
12,An téacs aistrithe.,10
261,"""Séamus Ó Néill"", Ainm.",10
221,Máirtín Ó Murchú.,10
92,• Cad é brí na beatha?,10
301,Tugtar cúlchaise air.,10
176,Is é Geineasas (,10
114,Dáta rochtana 14 Ean.,10
158,Is baile é Port Earn (,10
44,Ba é Ráth Mór lastigh d',10
190,Is é Yukio Mishima (,10
73,Bealach isteach.,10
271,Suas le 40 cm ar fhad.,10
226,Naofa ag na hIncigh.,10
108,Cuireadh chun báis é (b.,10
42,Ba é John Wallis (,10
84,Bhí sé 36 bliain d'aois.,10
244,Rugadh é in Popayán.,10
60,Ba é seo an 44ú eagrán.,10
132,Faoin ainm Mrs.,10
85,Bhí sé 55 bliana d'aois.,10
249,Rugadh é sa bhliain 1971.,10
304,Uisce ar an nGealach?,10
163,Is ceantar é Baile Conga.,10
145,Glas nó bán de ghnáth.,10
306,XL agus leaganacha eile.,10
252,Rugadh é sa bhliain 1990.,10
4,"A dó, b'fhéidir a trí.",10
256,Rugadh i gKandahar é.,10
200,Is mac Jason agus Lee é.,10
282,Tá na nótaí casta cruinn.,10
