,text,label
138,Il comporte 34 jeux.,9
278,Lorsque le mariage d’,9
56,C'est une molécule d',9
231,Le bois se prête à l’,9
171,Il joue au poste d’,9
335,Selon le mot d',9
24,Au nez des goujons.,9
190,Il se base sur l',9
32,"B, les étoiles «",9
196,Ils ont neuf enfants.,9
60,Cet exercice d',9
256,Le pont était teck.,9
274,« Loi du retour »,9
357,Tombe d'un des «,9
254,Le (ou musée de l',9
55,C'est un chanteur d',9
11,"À l'origine, le mot «",9
360,Tout commence à l',9
47,Ces sœurs sont de l',9
57,C'est une terrienne.,9
263,Les font partie de l',9
216,La guerre continue.,9
96,Elle devient alors l',9
270,Le vainqueur étant l',9
100,Elle est restée à l',9
164,Il est un Dieu.,9
237,Le décor fermé et l',9
103,Elle n'en parle pas.,9
313,Plan du petit train.,9
193,Ils en font don à l',9
328,"Saint est, selon l'",9
48,C'est à Angers que l',9
365,Très prisé pendant l',9
259,Les cadres actuels d',9
31,Bitton à propos d'E.,9
257,Le premier épisode —,9
166,Il est voisin de l',9
228,La rue est renommée «,9
287,Né à Darna en 1935.,9
129,Évitez les belles.,9
371,Une nouvelle ère –,9
294,Nous avions raison.,9
90,« domaines francs »,9
35,Ce cas flagrant d',9
332,Sans oublier l',9
178,Il ne dit rien de l',9
208,Je le sens vraiment.»,9
276,Lors du partage de l',9
21,Aucun ne fut achevé.,9
296,On doit ajouter qu',9
290,« Ne me touche pas »,9
342,Site des Halles.,9
156,Il est paru en 1970.,9
232,Le camp est rustique.,9
176,Il meurt le à 95 ans.,9
305,Par ailleurs à l',9
148,Il est élu lors de l’,9
187,Il reste sans suite.,9
68,D'abord élève d',9
319,Pour lutter contre l',9
359,Tous les champs de l',9
203,Interrogé par la «,9
65,Conçue comme une «,9
343,Site officiel de SCA.,9
202,Il y prend la place.,9
168,Il fait usage de l',9
281,Milton plus âgé.,9
347,Son élection à l',9
234,Le château vu du sud.,9
165,Il est un échec.,9
184,; il quitte alors LR.,9
84,Des études à l',9
218,La navire St. Helena.,9
303,"Oui, mais avec quoi.",9
217,La mer fut sa tombe.,9
23,Aucun n'est blessé.,9
247,Le manteau est rouge.,9
108,En 1938 il rejoint l',9
95,Elle défend l'idée d',9
58,C'est un opossum.,9
81,"Depuis cette date, l'",9
321,Pray dans son Canton.,9
230,L'avion est équipé d',9
327,Sa fabrication par l',9
261,Le Sénégal qualifié.,9
265,« Les grands mots »).,9
240,Le est une forme d',9
131,"Face gauche, burette.",9
252,L'ensemble est voûté.,9
16,Après avoir suivi l',9
333,Sans référence.,9
250,Le moteur d'une 403.,9
285,Nacho débute avec l',9
314,Plus actif à l'aube.,9
15,Après avoir obtenu l’,9
317,"Pour ces raisons, l'",9
372,Une politique d’,9
244,"Le jeu, présenté à l'",9
353,Sur un rameau sec.,9
63,Colin Clark joue à l',9
162,Il est souvent l',9
22,Aucun ne reste.,9
80,De nouveau prêté à l',9
297,On ne passe plus.,9
97,Elle doit porter l',9
8,Ainsi un taux d',9
124,""" et il déteste ça.",9
18,Ars est fort ancien.,9
28,Autre présentation.,9
271,Le vieux palais.,9
384,"Vers l'an 4000, l'",9
322,Premier ministre (,9
5,Ainsi elle étudie l',9
191,Il se bat en Tunisie.,9
10,À la même époque -,9
77,D'autres facteurs (,9
311,"Peu après, Paulina (",9
53,C’est le début du «,9
300,On y voit aussi l',9
125,» - Et il disparut.,9
42,Ce projet de l',9
364,Très peu modifié.,9
224,La rédaction accepte.,9
189,Ils défileront sur l',9
204,"I support sanctions""",9
174,Il lui est décerné l',9
19,À son entrée à l',9
369,"Un autre club, l'",9
376,Un garde est tué.,9
268,• Le Soleil noir •,9
